name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"iterations"
"CM_diag/16_mean",5,45982.9,40411.1,ns,,,,,,283
"CM_diag/16_median",5,45844.8,40781.8,ns,,,,,,283
"CM_diag/16_stddev",5,668.378,829.008,ns,,,,,,0
"CM_diag/32_mean",5,108941,59304,ns,,,,,,1078
"CM_diag/32_median",5,108775,61349,ns,,,,,,1078
"CM_diag/32_stddev",5,1391.83,5987.05,ns,,,,,,0
"CM_diag/48_mean",5,2.48202e+09,5.59375e+08,ns,,,,,,2488
"CM_diag/48_median",5,2.54638e+09,5.625e+08,ns,,,,,,2488
"CM_diag/48_stddev",5,1.29899e+08,7.68648e+07,ns,,,,,,0
"CM_diag/64_mean",5,8.42616e+09,1.05625e+09,ns,,,,,,4187
"CM_diag/64_median",5,8.42107e+09,1.07813e+09,ns,,,,,,4187
"CM_diag/64_stddev",5,6.86296e+07,5.69831e+07,ns,,,,,,0
"CM_diag/80_mean",5,2.36157e+10,2.0875e+09,ns,,,,,,6413
"CM_diag/80_median",5,2.36228e+10,2.125e+09,ns,,,,,,6413
"CM_diag/80_stddev",5,7.0842e+07,2.12695e+08,ns,,,,,,0
"OCL_diag/16_mean",5,271644,261584,ns,,,,,,283
"OCL_diag/16_median",5,269995,256913,ns,,,,,,283
"OCL_diag/16_stddev",5,19181.5,6963.34,ns,,,,,,0
"OCL_diag/32_mean",5,6.66813e+08,6.5625e+08,ns,,,,,,1078
"OCL_diag/32_median",5,6.66456e+08,6.5625e+08,ns,,,,,,1078
"OCL_diag/32_stddev",5,6.30877e+06,1.10485e+07,ns,,,,,,0
"OCL_diag/48_mean",5,2.4499e+09,2.40938e+09,ns,,,,,,2488
"OCL_diag/48_median",5,2.43371e+09,2.40625e+09,ns,,,,,,2488
"OCL_diag/48_stddev",5,3.83327e+07,4.19263e+07,ns,,,,,,0
"OCL_diag/64_mean",5,1.06982e+10,1.05594e+10,ns,,,,,,4187
"OCL_diag/64_median",5,1.07462e+10,1.0625e+10,ns,,,,,,4187
"OCL_diag/64_stddev",5,2.32005e+08,2.92609e+08,ns,,,,,,0
"OCL_diag/80_mean",5,3.48312e+10,3.45438e+10,ns,,,,,,6413
"OCL_diag/80_median",5,3.49471e+10,3.47188e+10,ns,,,,,,6413
"OCL_diag/80_stddev",5,3.46685e+08,4.19757e+08,ns,,,,,,0
"CPU_diag/16_mean",5,0.719204,0.718471,ns,,,,,,283
"CPU_diag/16_median",5,0.71318,0.714983,ns,,,,,,283
"CPU_diag/16_stddev",5,0.0100185,0.0145902,ns,,,,,,0
"CPU_diag/32_mean",5,0.767627,0.771484,ns,,,,,,1078
"CPU_diag/32_median",5,0.766864,0.756836,ns,,,,,,1078
"CPU_diag/32_stddev",5,0.00258481,0.0218366,ns,,,,,,0
"CPU_diag/48_mean",5,1.1148,1.11199,ns,,,,,,2488
"CPU_diag/48_median",5,1.11912,1.10548,ns,,,,,,2488
"CPU_diag/48_stddev",5,0.010196,0.0272033,ns,,,,,,0
"CPU_diag/64_mean",5,6.08368e+08,6.09375e+08,ns,,,,,,4187
"CPU_diag/64_median",5,6.08055e+08,6.09375e+08,ns,,,,,,4187
"CPU_diag/64_stddev",5,1.30616e+07,1.10485e+07,ns,,,,,,0
"CPU_diag/80_mean",5,1.44261e+09,1.4375e+09,ns,,,,,,6413
"CPU_diag/80_median",5,1.44061e+09,1.4375e+09,ns,,,,,,6413
"CPU_diag/80_stddev",5,1.47121e+07,1.10485e+07,ns,,,,,,0
"CM_diag_calculations_only/16_mean",5,1.32385,1.15215,ns,,,,,,283
"CM_diag_calculations_only/16_median",5,1.3291,1.14153,ns,,,,,,283
"CM_diag_calculations_only/16_stddev",5,0.0164153,0.0402608,ns,,,,,,0
"CM_diag_calculations_only/32_mean",5,3.23185,1.60038,ns,,,,,,1078
"CM_diag_calculations_only/32_median",5,3.2352,1.61014,ns,,,,,,1078
"CM_diag_calculations_only/32_stddev",5,0.0529194,0.105779,ns,,,,,,0
"CM_diag_calculations_only/48_mean",5,2.46354e+09,4.625e+08,ns,,,,,,2488
"CM_diag_calculations_only/48_median",5,2.47327e+09,4.53125e+08,ns,,,,,,2488
"CM_diag_calculations_only/48_stddev",5,2.98808e+07,8.45773e+07,ns,,,,,,0
"CM_diag_calculations_only/64_mean",5,8.34471e+09,1.09063e+09,ns,,,,,,4187
"CM_diag_calculations_only/64_median",5,8.37044e+09,1.14063e+09,ns,,,,,,4187
"CM_diag_calculations_only/64_stddev",5,6.511e+07,1.34139e+08,ns,,,,,,0
"CM_diag_calculations_only/80_mean",5,2.36311e+10,2.09063e+09,ns,,,,,,6413
"CM_diag_calculations_only/80_median",5,2.36093e+10,2.20313e+09,ns,,,,,,6413
"CM_diag_calculations_only/80_stddev",5,6.03589e+07,2.60615e+08,ns,,,,,,0
"OCL_diag_calculations_only/16_mean",5,1.31098,1.31757,ns,,,,,,283
"OCL_diag_calculations_only/16_median",5,1.31012,1.30452,ns,,,,,,283
"OCL_diag_calculations_only/16_stddev",5,0.0142662,0.0371846,ns,,,,,,0
"OCL_diag_calculations_only/32_mean",5,6.78568e+08,6.53125e+08,ns,,,,,,1078
"OCL_diag_calculations_only/32_median",5,6.82163e+08,6.5625e+08,ns,,,,,,1078
"OCL_diag_calculations_only/32_stddev",5,1.94203e+07,2.03725e+07,ns,,,,,,0
"OCL_diag_calculations_only/48_mean",5,2.4624e+09,2.425e+09,ns,,,,,,2488
"OCL_diag_calculations_only/48_median",5,2.47311e+09,2.42188e+09,ns,,,,,,2488
"OCL_diag_calculations_only/48_stddev",5,3.90041e+07,2.79508e+07,ns,,,,,,0
"OCL_diag_calculations_only/64_mean",5,1.09203e+10,1.0375e+10,ns,,,,,,4187
"OCL_diag_calculations_only/64_median",5,1.08751e+10,1.075e+10,ns,,,,,,4187
"OCL_diag_calculations_only/64_stddev",5,1.38346e+08,6.13269e+08,ns,,,,,,0
"OCL_diag_calculations_only/80_mean",5,3.51451e+10,3.45719e+10,ns,,,,,,6413
"OCL_diag_calculations_only/80_median",5,3.50594e+10,3.45625e+10,ns,,,,,,6413
"OCL_diag_calculations_only/80_stddev",5,1.60751e+08,2.05396e+08,ns,,,,,,0
"CPU_diag_calculations_only/16_mean",5,0.713964,0.711496,ns,,,,,,283
"CPU_diag_calculations_only/16_median",5,0.711661,0.714983,ns,,,,,,283
"CPU_diag_calculations_only/16_stddev",5,0.0124222,0.0258656,ns,,,,,,0
"CPU_diag_calculations_only/32_mean",5,0.776734,0.776367,ns,,,,,,1078
"CPU_diag_calculations_only/32_median",5,0.778784,0.78125,ns,,,,,,1078
"CPU_diag_calculations_only/32_stddev",5,0.00579237,0.0204263,ns,,,,,,0
"CPU_diag_calculations_only/48_mean",5,1.18687,1.19883,ns,,,,,,2488
"CPU_diag_calculations_only/48_median",5,1.19481,1.20614,ns,,,,,,2488
"CPU_diag_calculations_only/48_stddev",5,0.0139723,0.0400383,ns,,,,,,0
"CPU_diag_calculations_only/64_mean",5,6.09114e+08,6.03125e+08,ns,,,,,,4187
"CPU_diag_calculations_only/64_median",5,6.13817e+08,6.09375e+08,ns,,,,,,4187
"CPU_diag_calculations_only/64_stddev",5,7.74908e+06,1.39754e+07,ns,,,,,,0
"CPU_diag_calculations_only/80_mean",5,1.4463e+09,1.44375e+09,ns,,,,,,6413
"CPU_diag_calculations_only/80_median",5,1.4523e+09,1.4375e+09,ns,,,,,,6413
"CPU_diag_calculations_only/80_stddev",5,9.43935e+06,1.78152e+07,ns,,,,,,0
